m,r1,r2,r3,r4
1,2.7,3.5,2.7,3.5
2,3.9,4.4,3.8,4.4
3,4.8,5.2,4.7,5.1
4,5.5,5.8,5.4,5.8
5,6.1,6.4,6,6.3
6,6.7,7,6.6,6.9
7,7.2,7.5,7.2,7.4
8,7.7,8,7.7,7.9
