D,D1,1m,2m,3m
40,1,70,70,70
45,2.5,19,38,58
50,3.5,11,22,34
55,4,7.5,16,24
60,5.5,6,12,18
65,9,5,9,14
70,10,4,8,11
75,12,3,6,9
80,13,2,5,7
85,14.5,2,5,6
90,16.5,1,3,5
