number,x1,x2,x3,x4,x5,Y,K
3,1.5,1.4,1.4,0,0,3.5,4
5,1.8,1.9,1.7,1.9,1.5,5.3,4
6,1.7,1.8,1.6,1.7,0,3.3,4
10,1,0.9,1,0.8,0,2,4
11,0.7,0.8,0.6,0.7,0,1.3,4
12,0.7,0.8,0.6,0.7,0,1,4
