h1,h2,m1,m2,s1,s2,c1,c2,g1,g2
1.331,1.329,1.655,1.655,1.513,1.513,1.359,1.36,1.469,1.469
1.33,1.33,1.653,1.654,1.512,1.514,1.361,1.359,1.467,1.469
1.332,1.329,1.651,1.655,1.512,1.513,1.36,1.361,1.467,1.469
,,1.654,,,,,,1.467,1.47
