h0,h1,h2,h3,h4,beta
0,7,8,2,30,17
0,7,8,2,31,20
0,6,8,1,29,25
0,5,8,1,27,30
0,5,8,1,27,35
0,6,8,1,28,40
0,7,8,2,29,45
0,7,8,2,29,50
0,5,8,3,26,55
0,4,8,3,23,60
0,3,8,3,21,65
0,2,8,4,18,70
0,2,8,4,17,75
0,1,8,5,14,80
0,0,8,5,12,85
0,0,8,6,11,90
0,0,8,6,11,95
0,0,8,6,11,100
0,0,8,6,11,105
0,0,8,6,11,110
