x,h1,h2,h3,h4
16,7,8,2,31
20,7,2,2,18
24,7,1,4,14
28,7,12,15,26
32,7,14,21,23
36,7,15,21,25
40,7,10,16,21
44,7,7,14,18
48,7,10,17,20
52,7,15,23,25
56,7,19,25,29
60,7,10,16,20
64,7,20,27,30
68,7,22,26,35
72,7,0,5,13
76,7,6,4,26
80,7,0,2,23
12,7,9,4,30
